Date,AdjustedClose,News
31.07.84,301.32,Leading economic indicators down. Analysts expect lower interest rates to boost markets.
01.08.84,308.16,Leading economic indicators down. Analysts expect lower interest rates to boost markets.
02.08.84,315.98,Leading economic indicators down. Analysts expect lower interest rates to boost markets.
03.08.84,324.7,Leading economic indicators down. Analysts expect lower interest rates to boost markets.
06.08.84,325.2,Stock prices skyrocketed yesterday in record trading volume as institutional investors jumped in on the action in the belief interest rates were headed lower.
07.08.84,325.44,Stock prices skyrocketed yesterday in record trading volume as institutional investors jumped in on the action in the belief interest rates were headed lower.
08.08.84,323.5,Stock prices skyrocketed yesterday in record trading volume as institutional investors jumped in on the action in the belief interest rates were headed lower.
09.08.84,331.08,Stock prices skyrocketed yesterday in record trading volume as institutional investors jumped in on the action in the belief interest rates were headed lower.
10.08.84,330.84,Stock prices skyrocketed yesterday in record trading volume as institutional investors jumped in on the action in the belief interest rates were headed lower.
13.08.84,330.86,
14.08.84,328.84,
15.08.84,325.6,
16.08.84,327.54,
17.08.84,328.28,
20.08.84,329.88,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
21.08.84,335.66,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
22.08.84,334.12,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
23.08.84,334.24,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
24.08.84,335.02,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
27.08.84,332.88,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
28.08.84,334.8,"Stocks are cheap, and this signals that the second phase of the stampede toward new highs is underway, says Oppenheimer analyst Metz."
29.08.84,334.18,
30.08.84,333.2,
31.08.84,333.36,
04.09.84,329.76,Economic indicators up. Trade deficit narrows.
05.09.84,328.58,Economic indicators up. Trade deficit narrows.
06.09.84,331.3,Economic indicators up. Trade deficit narrows.
07.09.84,328.74,Economic indicators up. Trade deficit narrows.
10.09.84,328.52,Economic indicators up. Trade deficit narrows.
11.09.84,328.9,Economic indicators up. Trade deficit narrows.
12.09.84,329.36,Economic indicators up. Trade deficit narrows.
13.09.84,335.88,Economic indicators up. Trade deficit narrows.
14.09.84,337.56,
17.09.84,337.74,
18.09.84,335.3,
19.09.84,333.88,
20.09.84,334.94,
21.09.84,331.34,
24.09.84,330.56,
25.09.84,331.24,
26.09.84,332.56,
27.09.84,333.92,
28.09.84,332.2,
01.10.84,329.24,
02.10.84,327.18,
03.10.84,324.88,
04.10.84,325.84,
05.10.84,325.36,
08.10.84,324.26,
09.10.84,323.34,
10.10.84,324.22,
11.10.84,325.56,
12.10.84,328.36,
15.10.84,331.54,
16.10.84,329.56,
17.10.84,328.28,
18.10.84,336.2,
19.10.84,335.92,Alcoa posts slight gain in earnings.
22.10.84,334.72,Alcoa posts slight gain in earnings.
23.10.84,334.18,Alcoa posts slight gain in earnings.
24.10.84,334.4,Alcoa posts slight gain in earnings.
25.10.84,332.62,Alcoa posts slight gain in earnings.
26.10.84,330.58,Alcoa posts slight gain in earnings.
29.10.84,329.56,Alcoa posts slight gain in earnings.
30.10.84,333.68,
31.10.84,332.18,
01.11.84,334.98,
02.11.84,334.84,
05.11.84,337.16,
06.11.84,340.82,
07.11.84,338.34,
08.11.84,337.36,
09.11.84,335.2,"In the past month, almost 75 percent of corporate insiders were sellers, notes the newsletter on the topic, The Insiders."
12.11.84,334.72,"In the past month, almost 75 percent of corporate insiders were sellers, notes the newsletter on the topic, The Insiders."
13.11.84,331.94,"In the past month, almost 75 percent of corporate insiders were sellers, notes the newsletter on the topic, The Insiders."
14.11.84,331.98,"In the past month, almost 75 percent of corporate insiders were sellers, notes the newsletter on the topic, The Insiders."
15.11.84,331.78,"In the past month, almost 75 percent of corporate insiders were sellers, notes the newsletter on the topic, The Insiders."
16.11.84,328.2,"In the past month, almost 75 percent of corporate insiders were sellers, notes the newsletter on the topic, The Insiders."
19.11.84,326.18,
20.11.84,328.36,
21.11.84,329.02,
23.11.84,333.84,
26.11.84,331.1,
27.11.84,332.58,
28.11.84,330.04,
29.11.84,327.82,
30.11.84,327.16,
03.12.84,325.64,
04.12.84,326.76,
05.12.84,324.2,
06.12.84,325.52,
07.12.84,324.52,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
10.12.84,325.66,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
11.12.84,326.14,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
12.12.84,325.26,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
13.12.84,323.62,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
14.12.84,325.38,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
17.12.84,327.22,Wall Street closed moderately lower on the final day of a dismal week of trading as investors remained unwilling to bid up even the price of blue chip stocks because of economic and monetary uncertainty.
18.12.84,336.22,
19.12.84,334.32,
20.12.84,332.76,
21.12.84,331.02,
24.12.84,333.52,
26.12.84,332.94,
27.12.84,331.5,
28.12.84,332.52,
